Group Name,Group Email
Archery Club  MIT,archery@mit.edu
Cricket Club,cricket-exec@mit.edu
Womens Club Soccer,wcs-captains@mit.edu
Alpine Ski Club,alpinecaptains@mit.edu
Eizan Ryu Jiu Jitsu,jitsu-off@mit.edu
Badminton Club  MIT,mitcbac-officers@mit.edu
Cheerleading,cheer-officers@mit.edu
Club Tennis,mitclubtennis-exec@mit.edu
Curling Club,curling-owner@mit.edu
Cycling Club,cycling-all-officers@mit.edu
Figure Skating Club,skating-officers@mit.edu
Men's Soccer,mitfc-request@mit.edu
Golf Club,golfclubofficers@mit.edu
Judo Club,judo-officers@mit.edu
Kickboxing,kickboxing-officers@mit.edu
Korean Karate Club,mitkkc-officers@mit.edu
Mens Ice Hockey Club,menshockeyofficers@mit.edu
Mens Rugby Football Club,mitrugby-exec@mit.edu
Mens Ultimate Frisbee,mens-ult-officers@mit.edu
Mens Volleyball Club,mens-volleyball-officers@mit.edu
Rowing Club,row@mit.edu
Shotokan Karate,shotokan-karate-officers@mit.edu
Sport Taekwondo Club,sport-tkd-officers@mit.edu
Table Tennis Team,tt-officers@mit.edu
Triathlon Club,tri-exec@mit.edu
Gymnastics Club,gymnastics-admin@mit.edu
Womens Ice Hockey Club,club-hockey-captains@mit.edu
Womens Rugby Club,wrugby-request@mit.edu
Womens Ultimate Frisbee Team,womens-ultimate@mit.edu
Womens Volleyball Club,wvc-officers@mit.edu
Womens Water Polo,polo-ditch@mit.edu
Wrestling Club,wrestling-officers@mit.edu
Sport Pistol Club,pistol-exec@mit.edu
MIT Running Club,mitrc-exec@mit.edu
Squash Club,
